City,Original Equipment Manufacturer,Car,Year,Price,Kms Driven,Owner,Fuel Type,Transmission,Mileage,Max Power,Engine
Bangalore,Hyundai,Hyundai Venue,2019,10.85,9554.0,1,Petrol,Manual,18.27,118.35,998.0
Bangalore,Jeep,Jeep Compass,2022,25.9,14000.0,1,Petrol,Automatic,14.1,160.77,1368.0
Bangalore,Renault,Renault Duster,2013,5.16,74499.0,2,Diesel,Manual,20.45,83.8,1461.0
Bangalore,Ford,Ford Ecosport,2017,7.77,56211.0,2,Petrol,Automatic,14.8,121.36,1497.0
Bangalore,Honda,Honda Jazz,2019,7.53,9001.0,1,Petrol,Manual,18.2,88.7,1199.0
Bangalore,Mahindra,Mahindra XUV500,2017,12.26,65457.0,2,Diesel,Automatic,16.0,140.0,1997.0
Bangalore,Honda,Honda Jazz,2017,7.25,23682.0,1,Petrol,Manual,18.7,88.7,1199.0
Bangalore,Hyundai,Hyundai Verna,2020,11.5,50000.0,1,Diesel,Manual,22.0,126.2,1582.0
Bangalore,Maruti,Maruti Swift,2015,6.29,134557.0,2,Diesel,Manual,25.2,74.0,1248.0
Bangalore,Maruti,Maruti Swift Dzire,2013,4.47,96567.0,2,Petrol,Manual,22.41,88.5,1197.0
Bangalore,Maruti,Maruti Celerio,2015,4.0,120000.0,3,Petrol,Manual,23.1,67.04,998.0
Bangalore,Maruti,Maruti Ertiga,2014,7.86,83007.0,2,Diesel,Manual,20.77,88.8,1248.0
Bangalore,Honda,Honda Jazz,2018,7.45,34000.0,1,Petrol,Manual,18.7,88.7,1199.0
Bangalore,Hyundai,Hyundai Grand i10,2014,4.9,81634.0,1,Petrol,Automatic,18.9,82.0,1197.0
Bangalore,Honda,Honda City,2017,9.42,57284.0,2,Petrol,Automatic,18.0,117.6,1497.0
Bangalore,Ford,Ford Ecosport,2016,6.75,70000.0,2,Petrol,Automatic,15.63,110.4,1499.0
Bangalore,Honda,Honda Brio,2013,3.3,70000.0,2,Petrol,Manual,19.4,86.8,1198.0
Bangalore,Toyota,Toyota Yaris,2018,8.75,46429.0,2,Petrol,Automatic,17.8,105.5,1496.0
Bangalore,Maruti,Maruti Baleno,2017,8.69,17624.0,1,Petrol,Manual,21.4,83.1,1197.0
Bangalore,Volkswagen,Volkswagen Vento,2012,4.25,100000.0,2,Diesel,Manual,20.54,103.6,1598.0
Bangalore,Honda,Honda City,2019,10.7,30000.0,1,Petrol,Manual,17.4,117.6,1497.0
Bangalore,Ford,Ford Ecosport,2018,10.25,49690.0,2,Petrol,Manual,15.9,120.69,1496.0
Bangalore,Mahindra,Mahindra XUV500,2016,10.0,110000.0,1,Diesel,Manual,16.0,140.0,2179.0
Bangalore,Fiat,Fiat Linea,2009,3.75,50000.0,1,Petrol,Manual,16.0,90.0,1368.0
Bangalore,Fiat,Fiat Linea,2009,3.75,50000.0,1,Petrol,Manual,16.0,90.0,1368.0
Bangalore,Ford,Ford Ecosport,2018,8.44,55702.0,1,Petrol,Automatic,14.8,121.36,1497.0
Bangalore,Hyundai,Hyundai i20 Active,2016,7.64,45046.0,1,Diesel,Manual,21.19,88.73,1396.0
Bangalore,Maruti,Maruti Ritz,2014,4.2,53000.0,2,Petrol,Manual,18.5,85.8,1197.0
Bangalore,Maruti,Maruti Baleno,2016,6.84,94695.0,1,Diesel,Manual,27.39,74.0,1248.0
Bangalore,Maruti,Maruti Baleno,2019,8.03,22162.0,1,Petrol,Manual,21.4,83.1,1197.0
Bangalore,Hyundai,Hyundai Santro Xing,2010,3.2,70000.0,2,Petrol,Manual,17.92,62.1,1086.0
Bangalore,Honda,Honda City,2017,8.04,115331.0,1,Diesel,Manual,26.0,98.6,1498.0
Bangalore,Mercedes-Benz,Mercedes-Benz E-Class,2013,14.0,70000.0,2,Diesel,Automatic,10.0,170.0,2148.0
Bangalore,Maruti,Maruti Swift,2016,5.48,42233.0,2,Petrol,Manual,22.38,88.5,1197.0
Bangalore,Hyundai,Hyundai Grand i10,2019,6.19,20941.0,1,Petrol,Manual,18.9,81.86,1197.0
Bangalore,Maruti,Maruti Vitara Brezza,2018,10.0,50000.0,2,Diesel,Manual,24.3,88.5,1248.0
Bangalore,Honda,Honda WR-V,2018,8.65,46602.0,1,Petrol,Manual,17.5,88.7,1199.0
Bangalore,Mahindra Ssangyong,Mahindra Ssangyong Rexton,2014,10.0,50000.0,2,Diesel,Automatic,11.18,184.0,2696.0
Bangalore,Maruti,Maruti Swift,2014,5.35,104000.0,2,Diesel,Manual,25.2,74.0,1248.0
Bangalore,Ford,Ford Ecosport,2018,9.75,90000.0,1,Diesel,Manual,23.0,98.96,1498.0
Bangalore,Maruti,Maruti Baleno,2017,6.99,50035.0,1,Petrol,Manual,21.4,83.1,1197.0
Bangalore,Tata,Tata Nexon,2021,11.5,80000.0,1,Petrol,Manual,17.57,118.36,1199.0
Bangalore,Hyundai,Hyundai i20,2015,6.25,90000.0,2,Petrol,Manual,18.6,81.83,1197.0
Bangalore,Mercedes-Benz,Mercedes-Benz E-Class,2011,10.0,90000.0,4,Diesel,Automatic,14.21,203.0,2143.0
